created_at,reply_to_status_id,quoted_created_at,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,quoted_verified,retweet_verified,protected,verified,account_lang,profile_background_url,user_id,status_id,screen_name,text,source,ext_media_type,lang,quoted_status_id,quoted_text,quoted_source,quoted_user_id,quoted_screen_name,quoted_name,quoted_location,quoted_description,retweet_status_id,retweet_text,retweet_source,retweet_user_id,retweet_screen_name,retweet_name,retweet_location,retweet_description,place_url,place_name,place_full_name,place_type,country,country_code,status_url,name,location,description,url,profile_url,profile_expanded_url,profile_banner_url,profile_image_url,display_text_width,favorite_count,retweet_count,quote_count,reply_count,quoted_favorite_count,quoted_retweet_count,quoted_followers_count,quoted_friends_count,quoted_statuses_count,retweet_favorite_count,retweet_retweet_count,retweet_followers_count,retweet_friends_count,retweet_statuses_count,followers_count,friends_count,listed_count,statuses_count,favourites_count
2016-12-28T08:38:31Z,NA,NA,NA,NA,FALSE,TRUE,NA,TRUE,FALSE,FALSE,NA,NA,759841911456751619,814027737132400640,tidyverse,One thing that I particularly like about ggplot2 &amp; dplyr is they also teach you theory and cognition that transfer to new tools https://t.co/r6sSdyAfLs,TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,813781822207205377,One thing that I particularly like about ggplot2 &amp; dplyr is they also teach you theory and cognition that transfer to new tools https://t.co/r6sSdyAfLs,Tweetbot for iΟS,69133574,hadleywickham,Hadley Wickham,"Houston, TX","R, data, visualisation, 🐕, 🍸, 🌈. He/him",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/814027737132400640,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,144,0,21,NA,NA,NA,NA,NA,NA,NA,70,21,120328,270,40856,3311,9,69,295,47
2016-12-19T16:46:32Z,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,759841911456751619,810889062940811264,tidyverse,"""Speed up your code: parallel processing with multidplyr"": https://t.co/KlKNbu7oVq #dplyr #tidyverse #rstats https://t.co/VZAJOAdj34",TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/810889062940811264,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,108,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3311,9,69,295,47
2016-12-17T12:51:45Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,810105200920956929,tidyverse,My experience in using #rstats #tidyverse and databases: https://t.co/OrkUTse1Sx,TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,809662559485890560,My experience in using #rstats #tidyverse and databases: https://t.co/OrkUTse1Sx,Twitter Web Client,2851627972,matteodefelice,Matteo De Felice,"Alkmaar, The Netherlands","Scientist at the EC @EU_ScienceHub in North Holland. (Climate) data scientist, energy modeler, climate services' expert, enthusiast R programmer. Dutch learner.",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/810105200920956929,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,100,0,2,NA,NA,NA,NA,NA,NA,NA,3,2,1162,1950,8603,3311,9,69,295,47
2016-12-17T12:46:55Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,810103982924382208,tidyverse,"If I ever got a tattoo, it would be the dplyr cheatsheet on my forearm.",TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,809890719146147841,"If I ever got a tattoo, it would be the dplyr cheatsheet on my forearm.",Twitter Web Client,354537284,MeganRisdal,Meg Risdal 👾,Los Angeles,"Product @kaggle @google 💙 Ex @stackoverflow

""Brilliant data scientist"" - Brian Grazer

Data / Science / Language / Community. Weirdness.
MN in Los Angeles.",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/810103982924382208,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,88,0,1,NA,NA,NA,NA,NA,NA,NA,8,1,8421,1106,22686,3311,9,69,295,47
2016-12-12T21:36:36Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,808425342205657090,tidyverse,If you want to display all columns of a tibble use the width argument. Useful for wide data. #rstats #tidyverse https://t.co/ENOhFiYLuS,TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,808375142992769024,If you want to display all columns of a tibble use the width argument. Useful for wide data. #rstats #tidyverse https://t.co/ENOhFiYLuS,Twitter Web Client,751850557560786944,thie1e,Christian Thiele,,Using #Rstats at the U of Applied Sciences Bielefeld.,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/808425342205657090,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,38,88,35,3311,9,69,295,47
2016-12-11T22:12:17Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,808071937503166464,tidyverse,slipper - an R package for easy and tidy bootstrapping: https://t.co/NETPWufYLe. My first tidyverse attempt so would love help/feedback. https://t.co/4FlNe8ykkS,TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,806976849716846592,slipper - an R package for easy and tidy bootstrapping: https://t.co/NETPWufYLe. My first tidyverse attempt so would love help/feedback. https://t.co/4FlNe8ykkS,TweetDeck,176883031,jtleek,Jeff Leek,Baltimore,"Professor, Dad, https://t.co/5xC2WBDf5i",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/808071937503166464,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,86,NA,NA,NA,NA,NA,NA,NA,254,86,26736,657,3655,3311,9,69,295,47
2016-12-11T22:11:33Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,808071753176117248,tidyverse,Did you know you can bootstrap really easily in the tidyverse with broom? Now you do: https://t.co/U9Cw4AtFyE,TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,807272324579938304,Did you know you can bootstrap really easily in the tidyverse with broom? Now you do: https://t.co/U9Cw4AtFyE,TweetDeck,23549430,cskovron,Chris Skovron,"Logan Square, Chicago","Director of Data Science @Civiqs. Daily polling updates: https://t.co/t12i437LZ2. External faculty @NICOatNU. @UMich PhD, @OhioState Buckeye for life. Corolla Guy.",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/808071753176117248,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,123,0,2,NA,NA,NA,NA,NA,NA,NA,2,2,2736,2081,14799,3311,9,69,295,47
2016-12-08T20:58:50Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,806966289705136130,tidyverse,This is an excellent introduction to core data operations in the #rstats #tidyverse. https://t.co/3L7LlMXqs0,TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,806780635272462336,This is an excellent introduction to core data operations in the #rstats #tidyverse. https://t.co/3L7LlMXqs0,Twitter Web Client,2833731503,tsawallis,Tom Wallis,Germany,"Vision scientist. Professor @CentreForCogS, @TUDarmstadt. Australian. https://t.co/2AQVVUZeMc: fair OA in psychology. Opinions my own; RTs not endorsements. He/him.",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/806966289705136130,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,123,0,5,NA,NA,NA,NA,NA,NA,NA,5,5,1235,1083,2543,3311,9,69,295,47
2016-11-19T08:14:26Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,799888551072694272,tidyverse,".@hadleywickham lays out the many models workflow with dplyr, tidyr, and broom #rstats #PlotCon https://t.co/K3FUTnEGwL",TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,799651091625472001,".@hadleywickham lays out the many models workflow with dplyr, tidyr, and broom #rstats #PlotCon https://t.co/K3FUTnEGwL",Twitter for iPhone,46245868,drob,David Robinson,"New York, NY",Principal Data Scientist at @heap.  #rstats fan/evangelist. Dad. He/him,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/799888551072694272,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,129,0,14,NA,NA,NA,NA,NA,NA,NA,40,14,49318,670,12544,3311,9,69,295,47
2016-11-19T08:13:16Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,799888258058620928,tidyverse,"Functional sequences (saving a dplyr pipeline) are such an underappreciated, overlooked feature. Great for repeat ops on slightly diff data. https://t.co/FbzftIdPT1",TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,798653613283250177,"Functional sequences (saving a dplyr pipeline) are such an underappreciated, overlooked feature. Great for repeat ops on slightly diff data. https://t.co/FbzftIdPT1",Twitter Web Client,453693457,carroll_jono,Jonathan Carroll,"Adelaide, South Australia","Data scientist, recovering theoretical physicist, coffee addict, #rstats developer, nerd, pedant, dad. Not necessarily in that order.

Data curator @Genentech",NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/799888258058620928,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,139,0,91,NA,NA,NA,NA,NA,NA,NA,252,91,2780,486,8169,3311,9,69,295,47
2016-11-12T09:48:26Z,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,759841911456751619,797375490856132608,tidyverse,"""Easy Cross Validation in R with `modelr`"" by @iacobus42 https://t.co/6HEHcnxibB #rstats #modelr #purrr",TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/797375490856132608,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,103,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3311,9,69,295,47
2016-11-08T20:10:25Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,796082469346902016,tidyverse,Non-standard-evaluation and standard evaluation in dplyr (https://t.co/nno3Q7JH8F) by R.Hogervorst  #rstats,TweetDeck,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,795543974450778112,Non-standard-evaluation and standard evaluation in dplyr (https://t.co/nno3Q7JH8F) by R.Hogervorst  #rstats,Twitter Web Client,1977619399,patternproject,pattern,,,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/796082469346902016,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,127,0,1,NA,NA,NA,NA,NA,NA,NA,0,1,591,4763,11822,3311,9,69,295,47
2016-11-04T18:39:24Z,NA,NA,NA,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,NA,NA,759841911456751619,794610012886802432,tidyverse,"TFW you tidy up messy user input data with stringr, dplyr, and purrr and it works like you thought it should 😅 #tidyverse",Twitter for Android,NA,en,NA,NA,NA,NA,NA,NA,NA,NA,794348605666521088,"TFW you tidy up messy user input data with stringr, dplyr, and purrr and it works like you thought it should 😅 #tidyverse",Tweetbot for iΟS,38222781,RobertMitchellV,Robert Mitchell V,Claremont | Los Angeles,📈 Data Science @lapublichealth 📊 @Uptake.org Data Fellow 👨‍👩‍👦‍👦 Husband and dad of two Ⓥ Vegan since 6/2017,NA,NA,NA,NA,NA,NA,https://twitter.com/tidyverse/status/794610012886802432,tidyverse,,"News from the tidyverse. Appreciation account, not affiliated with RStudio. #rstats",https://t.co/345f46Y7So,https://t.co/345f46Y7So,http://tidyver.se,https://pbs.twimg.com/profile_banners/759841911456751619/1469997331,http://pbs.twimg.com/profile_images/759849560093057024/s0y603cr_normal.jpg,140,0,1,NA,NA,NA,NA,NA,NA,NA,1,1,467,491,2033,3311,9,69,295,47
