election_year,winner,runnerup           
2016,Donald Trump/Rep,Hillary Clinton/Dem
2012,Barack Obama/Dem,Mitt Romney/Rep    
2008,Barack Obama/Dem,John McCain/Rep    
2004,George W Bush/Rep,John Kerry/Dem     
2000,George W Bush/Rep,Al Gore/Dem        
1996,Bill Clinton/Dem,Bob Dole/Rep       
1992,Bill Clinton/Dem,George HW Bush/Rep 
1988,George HW Bush/Rep,Michael Dukakis/Dem
1984,Ronald Reagan/Rep,Walter Mondale/Dem 
1980,Ronald Reagan/Rep,Jimmy Carter/Dem 
